name, py, px, height
CKP001,  546442.275, 166093.741, 6.481
CKP002,  546465.329, 165883.877, 6.634
CKP003,  546397.745, 165911.663, 6.888
CKP004,  546375.48 , 166179.227, 12.962
CKP005,  546425.717, 165868.277, 14.906
CKP006,  546436.846, 165980.16 , 13.99
CKP007,  546448.21 , 166176.589, 17.032
CKP008,  546486.611, 165929.69 , 1.636
CKP009,  546470.866, 166077.431, 1.307
CKP010,  546624.163, 165973.507, 1.629
GCP001,  546311.587, 165811.267, 6.575
GCP002,  546458.953, 165781.405, 6.887
GCP003,  546608.86 , 165760.399, 6.229
GCP004,  546457.399, 165976.876, 6.263
GCP005,  546429.945, 166196.264, 6.903
GCP006,  546335.975, 165988.743, 10.326
GCP007,  546383.481, 166040.803, 6.51
GCP008,  546362.236, 166280.792, 7.165
GCP009,  546526.06 , 166129.782, 22.399
GCP011,  546293.583, 166158.031, 18.976
